cik,ticker,company_name
0001045810,NVDA,NVIDIA CORP
0000320193,AAPL,Apple Inc.
0001652044,GOOGL,Alphabet Inc.
0000789019,MSFT,MICROSOFT CORP
0001018724,AMZN,AMAZON COM INC
0001730168,AVGO,Broadcom Inc.
0001326801,META,"Meta Platforms, Inc."
0000723125,MU,MICRON TECHNOLOGY INC
0000002488,AMD,ADVANCED MICRO DEVICES INC
0000050863,INTC,INTEL CORP
0000858877,CSCO,"CISCO SYSTEMS, INC."
0000006951,AMAT,APPLIED MATERIALS INC /DE
0001341439,ORCL,ORACLE CORP
0000707549,LRCX,LAM RESEARCH CORP
0001321655,PLTR,Palantir Technologies Inc.
0000051143,IBM,INTERNATIONAL BUSINESS MACHINES CORP
0000319201,KLAC,KLA CORP
0000097476,TXN,TEXAS INSTRUMENTS INC
0000804328,QCOM,QUALCOMM INC/DE
0001108524,CRM,"Salesforce, Inc."
0001373715,NOW,"ServiceNow, Inc."
0001477333,NET,"Cloudflare, Inc."
0001561550,DDOG,"Datadog, Inc."
0001640147,SNOW,Snowflake Inc.
0000796343,ADBE,ADOBE INC.
0001441816,MDB,"MongoDB, Inc."
0001660134,OKTA,"Okta, Inc."
0001713683,ZS,"Zscaler, Inc."
0001650372,TEAM,Atlassian Corp
0001404655,HUBS,HUBSPOT INC
